Scenario;LB;UB;Time
300.0;-9.999992946438993e9;549504.6638798623;17.43500018119812
300.0;-1.817143060954941e7;98226.10073054503;35.25500011444092
300.0;-5.570213630143715e6;154348.43445505734;54.70900011062622
300.0;-5.215455320689657e6;95626.60209490635;73.65700006484985
300.0;-2.760352500863308e6;143166.85115174422;94.37600016593933
300.0;-2.7602620769360196e6;16411.028151010818;114.79200005531311
300.0;-113907.50625154571;448523.4296350881;131.33000016212463
300.0;-113678.3778184912;72744.70477942764;149.40100002288818
300.0;-45867.21731936856;82758.45987804566;167.8690001964569
300.0;-45734.21388195553;45888.3685348096;186.44400000572205
300.0;8223.722385204226;324686.5146381194;206.6980001926422
300.0;8237.486846135462;259287.7390478824;228.2220001220703
300.0;8390.080429561127;112241.45626292039;249.21900010108948
300.0;8439.180058183614;31926.875961529804;269.2900002002716
300.0;8487.39722464385;63177.08251795467;290.10000014305115
300.0;8534.367737650075;25486.757762573023;311.43300008773804
300.0;8643.226232144847;28983.74302928324;332.33200001716614
300.0;9263.276406902805;85755.40143504074;354.16800022125244
300.0;9279.367378856667;18983.537690777328;375.3110001087189
300.0;9356.474558997967;15224.448706138173;397.0600001811981
300.0;9613.410804502879;48689.28863336554;417.29100012779236
300.0;9651.563704862043;38244.16459747222;437.97900009155273
300.0;9653.367442756067;15664.601250831874;459.6850001811981
300.0;9909.64969828805;19880.901701217816;480.45500016212463
300.0;9919.40624177552;15187.042842122955;500.7090001106262
300.0;10324.615064311707;76037.94081005936;520.4430000782013
300.0;10327.530402356451;42000.33041739351;539.9460000991821
300.0;10337.199819613217;13613.866574952837;558.6130001544952
300.0;10452.970687423936;12415.30819979663;577.5160000324249
300.0;10657.537617788557;31291.667235894045;600.8970000743866
300.0;10659.635055249191;12650.11315092997;623.4079999923706
300.0;10734.66661089489;12497.120802129019;647.194000005722
300.0;10874.222387497823;12126.254177498684;670.3010001182556
300.0;11052.963090814;12212.65397832335;695.0200002193451
300.0;11243.662804985099;12035.439932797499;718.2220001220703
300.0;11300.207596787619;11708.163124494675;742.5720000267029
300.0;11325.304218478563;26062.96392053317;766.6530001163483
300.0;11325.336231786512;11699.548024989812;790.4030001163483
300.0;11376.729346927234;16466.282725154146;814.3450000286102
300.0;11377.832554759663;11713.256566507453;837.0010001659393
300.0;11429.036417114781;11726.491984655766;863.364000082016
300.0;11452.0079480273;11600.885928489162;889.1640000343323
300.0;11476.441776633987;11528.400631559232;914.4190001487732
300.0;11486.719026792915;11531.640710706779;938.6200001239777
300.0;11493.204334172411;11516.03464913362;961.1570000648499
300.0;11496.310152800783;11518.993777088457;985.1110000610352
300.0;11500.495886877528;11502.087026835683;1010.3210000991821
300.0;11500.69587404375;11501.882888274471;1033.1080000400543
300.0;11501.013353692148;11501.187932720422;1055.4830000400543
300.0;11501.078184298878;11501.27070912317;1078.7020001411438
